country,output_per_person,capital_per_person
Aruba,43485.348,210690.45
Angola,6728.4849,19149.576
Anguilla,36045.398,291497.78
Albania,16780.932,93490.492
United Arab Emirates,84881.82,559468.94
Argentina,27453.141,108970.88
Armenia,20200.336,87494.656
Antigua and Barbuda,26235.4,220801.13
Australia,62890.57,306026.19
Austria,62978.996,355729.94
Azerbaijan,20857.264,50582.82
Burundi,924.31567,2182.2571
Belgium,61771.637,340586.69
Benin,3387.6985,10936.867
Burkina Faso,2356.9951,4767.1353
Bangladesh,7888.3887,32745.535
Bulgaria,30684.215,79711.055
Bahrain,53809.336,327812.56
Bahamas,36632.445,203088.25
Bosnia and Herzegovina,19403.781,58621.715
Belarus,27949.895,154481.61
Belize,12485.767,34925.383
Bermuda,93087.203,195968.95
Bolivia (Plurinational State of),9597.2559,28888.434
Brazil,18805.514,81176.133
Barbados,18563.666,96470.758
Brunei Darussalam,84525.508,633034.19
Bhutan,13512.952,100292.05
Botswana,19031.785,79658.484
Central African Republic,1069.6073,9018.4414
Canada,55111.91,269615.41
Switzerland,82203.391,420147.69
Chile,27367.428,102431.25
China,21503.334,120818.25
Côte d'Ivoire,5993.3276,15160.297
Cameroon,4748.2993,11359.149
D.R. of the Congo,1415.7886,3305.489
Congo,6005.811,48605.613
Colombia,17290.57,58301.086
Comoros,3796.4998,19841.117
Cabo Verde,9168.7646,44399.453
Costa Rica,25431.215,84310.703
Curaçao,22853.6,
Cayman Islands,76192.266,311080.94
Cyprus,50630.629,265451.88
Czechia,48067.734,265141.38
Germany,59853.648,248370.47
Djibouti,7412.7563,23281.758
Dominica,16928.17,90854.945
Denmark,65313.922,335987.56
Dominican Republic,22910.795,119029.91
Algeria,14780.948,63175.379
Ecuador,13945.165,82381.883
Egypt,15931.867,27811.646
Spain,46732.895,282064.47
Estonia,42526.934,222421.11
Ethiopia,3001.8584,6825.8027
Finland,53615.418,330450.94
Fiji,13710.859,35137.23
France,51998.449,310728.22
Gabon,19528.625,43560.898
United Kingdom,52507.48,250666.39
Georgia,21127.625,111970.65
Ghana,6670.6279,17664.908
Guinea,3639.0352,5478.2944
Gambia,2602.3267,6670.1899
